pair_id,canonical_seed_id,source_origin,resource_type,input_style,flag_type,flag_reason,review_status,notes,reviewer_1_name,reviewer_2_name,reviewer_1_faithfulness,reviewer_2_faithfulness,reviewer_1_unsupported_fact,reviewer_2_unsupported_fact,reviewer_1_omission,reviewer_2_omission,reviewer_1_context_leakage,reviewer_2_context_leakage,reviewer_1_naturalness,reviewer_2_naturalness,reviewer_1_flag_type,reviewer_2_flag_type,reviewer_1_decision,reviewer_2_decision,reviewer_1_comments,reviewer_2_comments,binary_disagreement_count,decision_disagreement,disposition_only_disagreement,merged_decision,adjudication_needed,disagreement_summary,final_decision,final_notes
gptx-syn-002__brief_clinical_narrative,gptx-syn-002,synthea,Patient,brief_clinical_narrative,near_duplicate_variant,The Patient target is sparse enough that the two source-side variants may stay quite close.,flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from synthea_pilot50 seed Patient/0443254f-7306-f744-7ad4-b1675a59ba99.,Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,near_duplicate_variant,revise,keep,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Patient demographics (name, gender, birthDate, maritalStatus) all explicitly present in input and correctly in target. Extended fields in target are seed data.",0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-002__brief_clinical_narrative,gptx-syn-002,synthea,Patient,brief_clinical_narrative,possible_omission,"The Patient target contains more structured fields than the compressed source-side rendering exposes, so omission should be reviewed.",flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from synthea_pilot50 seed Patient/0443254f-7306-f744-7ad4-b1675a59ba99.,Claude_Reviewer_1,reviewer2,1,1,0,0,1,0,0,0,4,4,possible_omission,possible_omission,revise,keep,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Same patient data - input explicitly includes marital status. All core demographics faithful. Extended fields are from seed, not model inference.",1,yes,False,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,,
gptx-syn-002__concise_clinical,gptx-syn-002,synthea,Patient,concise_clinical,near_duplicate_variant,The Patient target is sparse enough that the two source-side variants may stay quite close.,flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from synthea_pilot50 seed Patient/0443254f-7306-f744-7ad4-b1675a59ba99.,Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,3,none,possible_omission,revise,keep,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Input includes ""Marital status: Married"" explicitly - maritalStatus in target is supported. Concise format is somewhat choppy (comma usage) but captures all stated facts.",0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-003__shorthand_clinical_note,gptx-syn-003,synthea,Patient,shorthand_clinical_note,possible_omission,"The Patient target contains more structured fields than the compressed source-side rendering exposes, so omission should be reviewed.",flagged_for_review,Patient expression uses only explicit structured identity/demographic fields from the canonical target and intentionally omits extra linked or non-core structured details. Imported target remains unchanged from synthea_pilot50 seed Patient/01e8022f-bd3e-b493-9190-3e87e8f94023.,Claude_Reviewer_1,reviewer2,1,1,0,0,1,0,0,0,4,4,possible_omission,possible_omission,revise,keep,Revise: remove unsupported address. Core demographic content is otherwise acceptable.,"Patient data (name, sex, dob, marital, deceased) all present in input. Shorthand format captures core facts. Additional target fields are seed data.",1,yes,False,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,,
gptx-syn-004__concise_clinical,gptx-syn-004,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/98758d75-d95a-39ca-eace-53571ec75f19.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Alkaline phosphatase 129.36 U/L with exact value and unit preserved. No context imported.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-004__semi_structured,gptx-syn-004,synthea,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/98758d75-d95a-39ca-eace-53571ec75f19.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same observation in semi-structured format. Value and unit exact match. Faithful translation.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-005__concise_clinical,gptx-syn-005,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/ed952e46-b99b-88f6-0bc1-8f666074aa32.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,"Respiratory rate 12 /min with exact value. Unit ""/"" is dimensionless. No unit conversion needed. Target contains encounter reference not in input but seed unchanged per notes.",0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-005__shorthand_clinical_note,gptx-syn-005,synthea,Observation,shorthand_clinical_note,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/ed952e46-b99b-88f6-0bc1-8f666074aa32.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,0,3,4,context_leakage,context_leakage,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same observation in shorthand format. Performer in target not in input but present in seed. No new context imported per notes.,1,yes,False,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,,
gptx-syn-005__shorthand_clinical_note,gptx-syn-005,synthea,Observation,shorthand_clinical_note,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/ed952e46-b99b-88f6-0bc1-8f666074aa32.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,3,4,style_uncertainty,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same shorthand entry. Unit preserved. No unit sensitivity issue apparent in this specific pair.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-006__brief_clinical_narrative,gptx-syn-006,synthea,Observation,brief_clinical_narrative,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/eb58ee3d-7579-10ba-7029-da628f7bd025.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,0,3,4,context_leakage,context_leakage,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Body Weight 85.9 kg correctly rendered. Performer in target not in input but from seed. Target remains self-contained per notes.,1,yes,False,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,,
gptx-syn-006__brief_clinical_narrative,gptx-syn-006,synthea,Observation,brief_clinical_narrative,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/eb58ee3d-7579-10ba-7029-da628f7bd025.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same body weight entry. Value kg preserved. Unit sensitivity confirmed for this type.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-006__semi_structured,gptx-syn-006,synthea,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/eb58ee3d-7579-10ba-7029-da628f7bd025.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Body weight in semi-structured format. Value and unit exact match.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-007__concise_clinical,gptx-syn-007,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/b9df4e45-05ba-5456-c0f6-7006fbb045ab.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Albumin 4.1117 g/dL with exact value preserved. Laboratory observation correctly formatted.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-007__semi_structured,gptx-syn-007,synthea,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/b9df4e45-05ba-5456-c0f6-7006fbb045ab.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same albumin observation in semi-structured format. Faithful translation.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-008__concise_clinical,gptx-syn-008,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/b262c778-41c9-499a-7267-c725c080ddf6.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,MCH 29.994 pg correctly preserved. Unit exact.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-008__shorthand_clinical_note,gptx-syn-008,synthea,Observation,shorthand_clinical_note,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/b262c778-41c9-499a-7267-c725c080ddf6.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,0,3,4,context_leakage,context_leakage,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Shorthand format same observation. Performer in target not in input but from seed per notes. No new context imported.,1,yes,False,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,,
gptx-syn-008__shorthand_clinical_note,gptx-syn-008,synthea,Observation,shorthand_clinical_note,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/b262c778-41c9-499a-7267-c725c080ddf6.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,3,4,style_uncertainty,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same shorthand entry. Unit preserved without conversion.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-009__brief_clinical_narrative,gptx-syn-009,synthea,Observation,brief_clinical_narrative,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/c30f6311-cc84-486f-64b5-1ee03f48f84e.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,0,3,4,context_leakage,context_leakage,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,pH 5.5205 correctly captured. pH is dimensionless quantity. Encounter reference in target not in input but from seed.,1,yes,False,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,,
gptx-syn-009__brief_clinical_narrative,gptx-syn-009,synthea,Observation,brief_clinical_narrative,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/c30f6311-cc84-486f-64b5-1ee03f48f84e.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same pH entry. Value and unit (pH scale) preserved.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-009__semi_structured,gptx-syn-009,synthea,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/c30f6311-cc84-486f-64b5-1ee03f48f84e.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,pH observation in semi-structured format. Value exact. No unit conversion for pH.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-010__concise_clinical,gptx-syn-010,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/a533c757-e03a-772e-6043-d5e81555d4f8.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Chloride 108.89 mmol/L correctly preserved with exact value and unit.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-010__semi_structured,gptx-syn-010,synthea,Observation,semi_structured,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/a533c757-e03a-772e-6043-d5e81555d4f8.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same chloride in semi-structured format. Unit mmol/L exact.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-011__concise_clinical,gptx-syn-011,synthea,Observation,concise_clinical,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/54ee6f70-24c3-c150-37e3-432c6d7438ef.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,4,4,none,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Leukocytes 5.1655 10*3/uL with unit preserved. Concise format captures essential observation data.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-011__shorthand_clinical_note,gptx-syn-011,synthea,Observation,shorthand_clinical_note,context_leakage,"The canonical target has linked references, so the compressed source-side rendering should be checked for hidden context importation.",flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/54ee6f70-24c3-c150-37e3-432c6d7438ef.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,1,1,3,4,context_leakage,context_leakage,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,"Shorthand format with encounter/subject/performer references in target not visible in input. Per notes target is seed-imported, but flag_type context_leakage suggests concern.",0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
gptx-syn-011__shorthand_clinical_note,gptx-syn-011,synthea,Observation,shorthand_clinical_note,unit_sensitivity,The Observation pair depends on exact numeric value and unit preservation.,flagged_for_review,"Observation expression keeps the exact numeric value and unit from valueQuantity and stays target-local without importing subject, encounter, or performer context. Imported target remains unchanged from synthea_pilot50 seed Observation/54ee6f70-24c3-c150-37e3-432c6d7438ef.",Claude_Reviewer_1,reviewer2,1,1,0,0,0,0,0,0,3,4,style_uncertainty,unit_sensitivity,revise,keep,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same entry. Unit preserved. Leukocytes count format 10*3/uL consistent.,0,yes,True,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,,
