pair_id,resource_type,input_style,flag_type,source_origin,reviewer_1_decision,reviewer_2_decision,disagreement_summary,reviewer_1_comments,reviewer_2_comments,final_decision,final_notes
gptx-syn-011__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Leukocytes 5.1655 10*3/uL with unit preserved. Concise format captures essential observation data.,,
gptx-syn-011__shorthand_clinical_note,Observation,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,"Shorthand format with encounter/subject/performer references in target not visible in input. Per notes target is seed-imported, but flag_type context_leakage suggests concern.",,
gptx-syn-011__shorthand_clinical_note,Observation,shorthand_clinical_note,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same entry. Unit preserved. Leukocytes count format 10*3/uL consistent.,,
gptx-syn-012__brief_clinical_narrative,Observation,brief_clinical_narrative,context_leakage,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Potassium 4.8 mmol/L correctly rendered. Performer A. Langeveld in target not in input but from seed.,,
gptx-syn-012__brief_clinical_narrative,Observation,brief_clinical_narrative,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same potassium entry. Unit mmol/L preserved exactly.,,
gptx-syn-012__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Potassium in semi-structured format. Value and unit exact match.,,
gptx-syn-013__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Creatinine 2.3846 mg/dL correctly preserved. Unit exact.,,
gptx-syn-013__semi_structured,Observation,semi_structured,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Creatinine in semi-structured format. Value and unit faithful.,,
gptx-syn-014__concise_clinical,Observation,concise_clinical,unit_sensitivity,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Cholesterol 196.73 mg/dL correctly preserved. Laboratory observation faithful.,,
gptx-syn-014__shorthand_clinical_note,Observation,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Shorthand format same cholesterol. Encounter/subject/performer references in target from seed per notes.,,
gptx-syn-014__shorthand_clinical_note,Observation,shorthand_clinical_note,unit_sensitivity,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Pair needs revision: unsupported encounter reference present in FHIR target not grounded in input. Remove before retention.,Same entry. Unit mg/dL preserved.,,
gptx-syn-016__brief_clinical_narrative,Condition,brief_clinical_narrative,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: encounter reference not grounded in input. Remove before retention.,Anxiety condition with onset and abatement correctly captured. Encounter/subject in target from seed. No duration or treatment added beyond explicit fields.,,
gptx-syn-016__brief_clinical_narrative,Condition,brief_clinical_narrative,style_uncertainty,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: encounter reference not grounded in input. Remove before retention.,"Same anxiety entry. ""Confirmed and resolved since"" vs ""active/confirmed"" - style nuance. Core clinical facts are faithful.",,
gptx-syn-017__shorthand_clinical_note,Condition,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: encounter reference not grounded in input. Remove before retention.,Viral sinusitis with onset/abatement in shorthand format. Condition code and status fields present. Encounter/subject references from seed per notes.,,
gptx-syn-019__brief_clinical_narrative,Condition,brief_clinical_narrative,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: encounter reference not grounded in input. Remove before retention.,Fracture subluxation condition with onset/abatement dates. SNOMED code 263102004 matches diagnosis. Encounter/subject from seed. No hidden context imported.,,
gptx-syn-019__brief_clinical_narrative,Condition,brief_clinical_narrative,style_uncertainty,synthea,revise,keep,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs style_uncertainty; decision revise vs keep.,Revise: encounter reference not grounded in input. Remove before retention.,Same fracture entry. Condition phraseology is conservative per notes. Core facts faithful.,,
gptx-syn-020__shorthand_clinical_note,Condition,shorthand_clinical_note,context_leakage,synthea,revise,keep,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,Revise: encounter reference not grounded in input. Remove before retention.,"Chronic sinusitis in shorthand format. Clinical status active, verification confirmed. Onset date present. Encounter/subject from seed.",,
