dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
gpt_expanded,gptx-syn-002__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-003__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disagreement on omission 1 vs 0; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-005__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-006__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-008__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-009__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-012__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-012__semi_structured,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-013__concise_clinical,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-014__concise_clinical,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs unit_sensitivity; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
gpt_expanded,gptx-syn-019__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4; flag_type context_leakage vs style_uncertainty; decision revise vs keep.,exclude_for_now,,GPT-expanded policy: default conservative exclusion until much more of the pending queue is resolved. No adjudication outcome recorded; preliminarily bucketed conservatively due to unsupported/context-leakage/omission risk.
mimic_eicu,demo-mimic-eicu-pair-0001,keep,keep,keep,no,Disagreement on naturalness 5 vs 4.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0002,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0003,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0004,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0005,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0006,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0007,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0008,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0009,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0010,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0011,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0012,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0013,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
mimic_eicu,demo-mimic-eicu-pair-0014,keep,keep,keep,no,No disagreement detected.,exclude_for_now,keep,MIMIC/eICU policy: demo_only_low_weight_candidate at most; exclude from formal training for now. Final decision carried from merged_decision=keep.
