dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
official,official-pair-017,revise,revise,revise,no,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; context_leakage 1 vs 0; flag_type context_leakage vs possible_omission.,use_after_revision,revise,Official policy: conserve for targeted revision/adjudication before any broader use. Final decision carried from merged_decision=revise.
official,official-pair-018,revise,revise,revise,no,Disagreement on unsupported_fact 1 vs 0; omission 0 vs 1; context_leakage 1 vs 0; flag_type context_leakage vs possible_omission.,use_after_revision,revise,Official policy: conserve for targeted revision/adjudication before any broader use. Final decision carried from merged_decision=revise.
gpt_expanded,gptx-syn-005__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-005__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-006__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-006__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-007__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-007__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-008__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-008__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-009__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-009__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-010__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-010__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-011__concise_clinical,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-011__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-011__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-012__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-013__semi_structured,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-014__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-014__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-016__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-016__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-017__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-019__brief_clinical_narrative,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
gpt_expanded,gptx-syn-020__shorthand_clinical_note,revise,keep,pending_adjudication,yes,Disposition-only disagreement: both reviewers agree on the binary reliability dimensions but decisions differ (revise vs keep).,use_after_revision,,GPT-expanded policy: unresolved row is only tentatively salvageable and needs explicit adjudication before use. No adjudication outcome recorded; preliminarily bucketed as repairable because disagreement is disposition-only.
