dataset,pair_id_or_candidate_id,reviewer_1_decision,reviewer_2_decision,merged_decision,adjudication_needed,disagreement_summary,preliminary_training_bucket,final_decision,final_notes
nhanes,NHANES-P15-09-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-10-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-10-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-11-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-11-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-12-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-12-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-13-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-13-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-14-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-14-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-15-concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
nhanes,NHANES-P15-15-semi_structured,keep,keep,keep,no,Disagreement on naturalness 4 vs 5; flag_type none vs unit_sensitivity.,use_now,keep,NHANES policy: clean non-pending row may enter training now. Final decision carried from merged_decision=keep.
gpt_expanded,gptx-off-001__concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs near_duplicate_variant.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
gpt_expanded,gptx-off-001__semi_structured,keep,keep,keep,no,Disagreement on flag_type none vs near_duplicate_variant.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
gpt_expanded,gptx-off-003__concise_clinical,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
gpt_expanded,gptx-off-003__semi_structured,keep,keep,keep,no,Disagreement on flag_type none vs unit_sensitivity.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
gpt_expanded,gptx-off-006__brief_clinical_narrative,keep,keep,keep,no,Disagreement on context_leakage 1 vs 0; naturalness 3 vs 4.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
gpt_expanded,gptx-off-006__brief_clinical_narrative,keep,keep,keep,no,No disagreement detected.,use_now,keep,"Row-level keep is clean, but GPT-expanded as a dataset line is still not backbone-ready. Final decision carried from merged_decision=keep."
